Metric,Value
completeness.property_usage_sample.http://www.w3.org/1999/02/22-rdf-syntax-ns#type,34059478
completeness.property_usage_sample.http://www.w3.org/2004/02/skos/core#prefLabel,19261321
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/roleType,7231338
completeness.property_usage_sample.http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,7225442
completeness.property_usage_sample.http://www.w3.org/1999/02/22-rdf-syntax-ns#object,7225442
completeness.property_usage_sample.http://purl.org/dc/terms/description,3017164
completeness.property_usage_sample.http://www.w3.org/2002/07/owl#sameAs,2345878
completeness.property_usage_sample.http://www.w3.org/2000/01/rdf-schema#label,2158158
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/hasBeginTimeStamp,1648982
completeness.property_usage_sample.http://oekg.l3s.uni-hannover.de/schema/startUnitType,1648982
completeness.counting_method,exact_file_scan
completeness.event_population,direct sem:Event instances
completeness.required_profile,"['rdfs:label', 'sem:hasBeginTimeStamp or sem:hasEndTimeStamp', 'sem:hasPlace']"
completeness.population_completeness.total_events,954554
completeness.population_completeness.events_with_label,954554
completeness.population_completeness.events_with_temporal,781897
completeness.population_completeness.events_with_location,716647
completeness.population_completeness.fully_complete_events,612768
completeness.population_completeness.label_coverage_rate,100.0
completeness.population_completeness.temporal_coverage_rate,81.91
completeness.population_completeness.location_coverage_rate,75.08
completeness.population_completeness.population_completeness_rate,64.19
completeness.population_completeness.status,computed
completeness.population_completeness.counting_method,exact_file_scan
completeness.population_completeness.event_population,direct sem:Event instances
completeness.population_completeness.required_profile,"['rdfs:label', 'sem:hasBeginTimeStamp or sem:hasEndTimeStamp', 'sem:hasPlace']"
--- TYPE CONSISTENCY METRICS ---,
type_consistency.properties_analyzed,5
type_consistency.properties_with_violations,3
type_consistency.average_domain_conformity,0.0
type_consistency.average_range_conformity,0.03
type_consistency.overall_type_consistency,0.02
type_consistency.applicable_domain_checks,770300
type_consistency.domain_violations_total,770300
type_consistency.applicable_range_checks,3746976
type_consistency.range_violations_total,3746027
type_consistency.applicable_consistency_checks,4517276
type_consistency.total_property_usages_examined,4517276
type_consistency.status,computed
type_consistency.aggregation,evidence-weighted applicable checks
type_consistency.consistency_interpretation,Closed-profile explicit type alignment over declared and used RDFS constraints.
type_consistency.property_details,"[{'property': 'http://oekg.l3s.uni-hannover.de/schema/endUnitType', 'domain': None, 'range': 'http://www.w3.org/2006/time#TemporalUnit', 'range_kind': 'class', 'range_total': 1358024, 'range_violations': 1357669, 'range_conformity': 0.03}, {'property': 'http://oekg.l3s.uni-hannover.de/schema/extractedFrom', 'domain': 'http://semanticweb.cs.vu.nl/2009/11/sem/Core', 'range': 'http://www.w3.org/1999/02/22-rdf-syntax-ns#Resource', 'domain_total': 770300, 'domain_violations': 770300, 'domain_conformity': 0.0, 'range_kind': 'class', 'range_total': 770300, 'range_violations': 770300, 'range_conformity': 0.0}, {'property': 'http://oekg.l3s.uni-hannover.de/schema/links', 'domain': 'http://oekg.l3s.uni-hannover.de/schema/LinkRelation', 'range': 'http://www.w3.org/2001/XMLSchema#nonNegativeInteger', 'domain_total': 0, 'domain_violations': 0, 'domain_conformity': None, 'range_kind': 'datatype', 'range_total': 0, 'range_violations': 0, 'range_conformity': None}, {'property': 'http://oekg.l3s.uni-hannover.de/schema/mentions', 'domain': 'http://oekg.l3s.uni-hannover.de/schema/MentionRelation', 'range': 'http://www.w3.org/2001/XMLSchema#nonNegativeInteger', 'domain_total': 0, 'domain_violations': 0, 'domain_conformity': None, 'range_kind': 'datatype', 'range_total': 0, 'range_violations': 0, 'range_conformity': None}, {'property': 'http://oekg.l3s.uni-hannover.de/schema/startUnitType', 'domain': None, 'range': 'http://www.w3.org/2006/time#TemporalUnit', 'range_kind': 'class', 'range_total': 1618652, 'range_violations': 1618058, 'range_conformity': 0.04}]"
type_consistency.inference_enabled,False
type_consistency.open_world_caveat,Missing explicit class assertions count as non-alignment under this closed profile; they are not RDF/OWL logical inconsistencies. rdfs:Resource and rdfs:Literal are handled according to their RDF semantics.
type_consistency.max_properties_configured,50
--- ENTITY RICHNESS METRICS ---,
entity_richness.avg_properties_per_event,8.78
entity_richness.median_properties_per_event,9.0
entity_richness.std_dev_properties,2.63
entity_richness.sparse_entities_percentage,0.0
entity_richness.total_events_analyzed,954554
entity_richness.status,computed
entity_richness.counting_unit,distinct outgoing predicates excluding rdf:type
entity_richness.sparse_threshold,fewer than 3 distinct outgoing predicates
--- MAPPING COVERAGE METRICS ---,
mapping_coverage.total_events,954554
mapping_coverage.events_with_external_links,954554
mapping_coverage.events_linked_to_wikidata,954554
mapping_coverage.events_linked_to_dbpedia,506006
mapping_coverage.external_link_rate,100.0
mapping_coverage.wikidata_coverage,100.0
mapping_coverage.dbpedia_coverage,53.01
mapping_coverage.status,computed
--- PREDICATE USAGE METRICS ---,
predicate_usage.total_unique_predicates,27
predicate_usage.total_triples,93474126
predicate_usage.top_10_concentration,91.75
predicate_usage.singleton_predicates,0
predicate_usage.gini_coefficient,0.759
predicate_usage.shannon_entropy,3.0427
predicate_usage.normalized_shannon_entropy,0.6399
predicate_usage.hhi_concentration,0.1968
predicate_usage.status,computed
avg_clustering_status,not_computed_large_graph_mode
edge_connectivity_status,conditional_exact_disconnected_graph
min_degree,1
max_degree,825377
leaf_count,3465209
leaf_fraction,0.26726117701356233
