Metric,Value
temporal.semantic_validation.total_checked,83
temporal.semantic_validation.unparseable_events,0
temporal.semantic_validation.violations,0
temporal.semantic_validation.consistency_rate,100.0
temporal.semantic_validation.status,computed
temporal.semantic_validation.multi_value_rule,max(begin values) <= min(end values)
temporal.semantic_validation.sampling_method,complete/small-graph IRI-ordered sample
temporal.semantic_validation.violation_examples,[]
--- SCHEMA METRICS ---,
schema.total_events,100
schema.events_with_labels,100
schema.events_with_dates,100
schema.fully_described_events,93
schema.label_coverage_rate,100.0
schema.date_coverage_rate,100.0
schema.schema_conformance_rate,93.0
schema.status,computed
schema.non_standard_properties_count,1
schema.non_standard_properties_sample.http://purl.org/dc/terms/description,83
schema.external_vocabulary_usage.schema.org,0
schema.external_vocabulary_usage.dbpedia,81
schema.external_vocabulary_usage.wikidata,100
schema.counting_method,exact_file_scan
--- COMPLETENESS METRICS ---,
completeness.total_event_instances,100
completeness.used_event_classes,2
completeness.declared_event_classes,7
completeness.events_with_complete_data,93
completeness.schema_coverage_percentage,28.57
completeness.population_completeness_percentage,93.0
completeness.class_usage_efficiency_percentage,2.0
completeness.status,computed
completeness.property_usage_sample.http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1459
completeness.property_usage_sample.http://www.w3.org/2000/01/rdf-schema#label,885
completeness.property_usage_sample.http://www.w3.org/2002/07/owl#sameAs,575
completeness.property_usage_sample.http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,539
completeness.property_usage_sample.http://www.w3.org/1999/02/22-rdf-syntax-ns#object,539
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/roleType,539
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/hasBeginTimeStamp,204
completeness.property_usage_sample.http://purl.org/dc/terms/description,150
completeness.property_usage_sample.https://eventkg.l3s.uni-hannover.de/schema/startUnitType,140
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/hasPlace,131
completeness.counting_method,exact_file_scan
completeness.event_population,direct sem:Event instances
completeness.required_profile,"['rdfs:label', 'sem:hasBeginTimeStamp or sem:hasEndTimeStamp', 'sem:hasPlace']"
completeness.population_completeness.total_events,100
completeness.population_completeness.events_with_label,100
completeness.population_completeness.events_with_temporal,100
completeness.population_completeness.events_with_location,93
completeness.population_completeness.fully_complete_events,93
completeness.population_completeness.label_coverage_rate,100.0
completeness.population_completeness.temporal_coverage_rate,100.0
completeness.population_completeness.location_coverage_rate,93.0
completeness.population_completeness.population_completeness_rate,93.0
completeness.population_completeness.status,computed
completeness.population_completeness.counting_method,exact_file_scan
completeness.population_completeness.event_population,direct sem:Event instances
completeness.population_completeness.required_profile,"['rdfs:label', 'sem:hasBeginTimeStamp or sem:hasEndTimeStamp', 'sem:hasPlace']"
--- TYPE CONSISTENCY METRICS ---,
type_consistency.properties_analyzed,1
type_consistency.properties_with_violations,0
type_consistency.average_domain_conformity,100.0
type_consistency.average_range_conformity,100.0
type_consistency.overall_type_consistency,100.0
type_consistency.applicable_domain_checks,131
type_consistency.domain_violations_total,0
type_consistency.applicable_range_checks,131
type_consistency.range_violations_total,0
type_consistency.applicable_consistency_checks,262
type_consistency.total_property_usages_examined,262
type_consistency.status,computed
type_consistency.aggregation,evidence-weighted applicable checks
type_consistency.consistency_interpretation,Closed-profile explicit type alignment over declared and used RDFS constraints.
type_consistency.property_details,"[{'property': 'http://semanticweb.cs.vu.nl/2009/11/sem/hasPlace', 'domain': 'http://semanticweb.cs.vu.nl/2009/11/sem/Event', 'range': 'http://semanticweb.cs.vu.nl/2009/11/sem/Place', 'domain_total': 131, 'domain_violations': 0, 'domain_conformity': 100.0, 'range_kind': 'class', 'range_total': 131, 'range_violations': 0, 'range_conformity': 100.0}]"
type_consistency.inference_enabled,False
type_consistency.open_world_caveat,Missing explicit class assertions count as non-alignment under this closed profile; they are not RDF/OWL logical inconsistencies. rdfs:Resource and rdfs:Literal are handled according to their RDF semantics.
type_consistency.max_properties_configured,50
--- ENTITY RICHNESS METRICS ---,
entity_richness.avg_properties_per_event,7.46
entity_richness.median_properties_per_event,8.0
entity_richness.std_dev_properties,0.72
entity_richness.sparse_entities_percentage,0.0
entity_richness.total_events_analyzed,100
entity_richness.status,computed
entity_richness.counting_unit,distinct outgoing predicates excluding rdf:type
entity_richness.sparse_threshold,fewer than 3 distinct outgoing predicates
--- MAPPING COVERAGE METRICS ---,
mapping_coverage.total_events,100
mapping_coverage.events_with_external_links,100
mapping_coverage.events_linked_to_wikidata,100
mapping_coverage.events_linked_to_dbpedia,81
mapping_coverage.external_link_rate,100.0
mapping_coverage.wikidata_coverage,100.0
mapping_coverage.dbpedia_coverage,81.0
mapping_coverage.status,computed
--- PREDICATE USAGE METRICS ---,
predicate_usage.total_unique_predicates,19
predicate_usage.total_triples,4553
predicate_usage.top_10_concentration,94.03
predicate_usage.singleton_predicates,2
predicate_usage.gini_coefficient,0.5897
predicate_usage.shannon_entropy,3.3386
predicate_usage.normalized_shannon_entropy,0.7859
predicate_usage.hhi_concentration,0.1223
predicate_usage.status,computed
